Ник,Имя,Страна,Команда,Дата рождения,Призовые за карьеру,Расса
Bails,Bailey Thomas,US,,1996-06-25,13168,Protoss
Shine,이영한,KR,,1991-08-24,11331,Zerg
EF,谢蔚科,CN,,,5805,Zerg
Xenocider,Libo Chang,US,,1997-08-12,20365,Terran
FireFoX,Jean-Pierre Songpadith,FR,Alpha X,,961,Zerg
ParalyzE,정경두,KR,,1992-10-15,8417,Protoss
Arthur,윤명혁,KR,,,21232,Protoss
Pigeon,朱英杰,CN,,,2174,Protoss
Ricus,,FR,Genesis Gaming,,42,Terran
NoRegreT,Jake Umpleby,CA,PSISTORM Gaming,1996-03-25,12118,Zerg
DefMars,,RU,3D!Clan,,754,Protoss
YugiOh,정승일,KR,,1992-06-17,15785,Zerg
NightEnD,Silviu Lazar,RO,,1988-02-19,23257,Protoss
BreakingGG,程张奕劼,CN,,,11046,Zerg
PuPu,Benjamin Puha,FI,,,3494,Zerg
Tefel,Łukasz Czarnecki,PL,,1988-01-18,23380,Zerg
Winter,Felix Hegethorn,SE,,1995-02-18,10300,Zerg
HuT,Nick Hutton,AU,Mindfreak eSports,,10216,Terran
Trifax,Jakub Kosior,PL,CSO eSports,,505,Zerg
Squirtle,박현우,KR,,1992-07-06,82622,Protoss
Ret,Joseph de Kroon,NL,Team QLASH,1985-11-03,69973,Zerg
Vaisravana,北橋 正信,JP,GdA-Team,,1377,Zerg
Drunkenboi,Henry Luu,CA,,1994-12-21,3686,Terran
Majestic,Miguel Juliá,ES,,1997-04-25,6321,Protoss
ZAiN,Zain Sekha,UK,,,1289,Protoss
Jim,曹晋珲,CN,Invictus Gaming,1995-10-10,134220,Protoss
Moosegills,Michael Wolff,US,CompLexity Gaming,1992-10-12,967,Zerg
MysteryMan,,TW,,,4296,Zerg
Check,김민규,KR,,1993-01-05,12176,Zerg
Blysk,Thomas Kopankiewicz,SG,Resurgence,1995-11-23,13971,Protoss
BBoongBBoong,최종혁,KR,,1988-08-05,19124,Zerg
McMonroe,Braden Wasson,US,Genesis Gaming,,622,Zerg
Snoxtar,Jakub Gwiazda,PL,Berserker eSports,,1339,Zerg
Hitman,Victor Lin,US,,1996-04-02,5271,Protoss
Center,최제성,KR,,1994-03-01,2566,Terran
Flying,신재욱,KR,,1990-07-15,9144,Protoss
Oreo,Lachlan Passenger,AU,CranKy Ducklings,,946,Zerg
Mixu,Mikael Helenius,FI,KOVA Esports,,1465,Zerg
Top,胡涛,CN,Team LeiFeng,1990-01-29,34304,Protoss
DaNa,Radosław Danowski,PL,,,5292,Zerg
starkiller,John Puchalski,US,Alpha X,,7434,Zerg
Shana,王雨伦,CN,,1997-07-08,17370,Terran
JonnyREcco,Paul Whyte,UK,,1995-10-27,7749,Zerg
Creature,Adam Block,US,,1995-05-12,2543,Protoss
LucifroN,Pedro Moreno Durán,ES,,1991-10-31,64665,Terran
ThorZaIN,Marcus Eklöf,SE,,1991-02-09,98047,Terran
Rom,Romain Congos,FR,ePunks,,1449,Protoss
Sottorks,Richer Morin,CA,nocturnal Gamers,,1159,Terran
Minatoeh,Віталій Пономаренко,UA,Harbingers,1993-08-07,3501,Zerg
Action,김성대,KR,,1992-04-23,674,Zerg
Tileä,Tileä Flavall,NZ,,1995-03-15,2880,Zerg
LiveZerg,Андрей Гульдяшов,RU,,1992-05-03,15113,Zerg
Lillekanin,Steffen Hovmand,DK,ePunks,1993-11-16,4785,Terran
Revolver,Павел Белов,RU,,1989-01-30,2749,Zerg
Seed,안상원,KR,,1991-01-13,70592,Protoss
Ashbringer,Слава Чекмарев,RU,,,232,Protoss
horror,김효종,KR,,1992-06-22,924,Zerg
Aristori,Tomasz Rutkowski,PL,Berserker eSports,,461,Zerg
Reaper,,US,License to Kill,,83,Zerg
Intense,Andrew Pirelli,US,,1997-10-25,3571,Terran
GeNieS,Aleksey Gasanov,RU,ReG eSports,,478,Protoss
Light,Ray Zi,AU,,,2286,Protoss
Lucky,Daniel Elmblad,US,,,80,Protoss
HalfBreed,Felipe Zuñiga,CL,,1989-12-16,41916,Zerg
MiNiMaTh,Mathieu Perrus,FR,against All authority,,4387,Zerg
Poker,Brian Yoon,AU,,,538,Zerg
fraer,Ігор Турчин,RU,,1991-11-18,12879,Protoss
LeFaucheur,,FR,,,154,Zerg
Lyn,박준,KR,,1986-12-21,32997,Terran
THERIDDLER,Riddle Li,CA,,,2379,Terran
Genius,정민수,KR,,1991-08-01,87094,Protoss
Pokebunny,Nick Taber,US,,,3170,Terran
CripSeil,Clément Pagnier,FR,,,175,Protoss
inori,우민규,KR,,1988-06-22,9140,Protoss
Miszu,Michal Słomczyński,PL,,,597,Terran
Ziomek,Adam Skorynko,PL,Team Blacer,,1465,Protoss
Brown,최민수,KR,,1991-09-25,3391,Protoss
PiG,Jared Krensel,AU,,1988-12-11,29847,random
SaSe,Kim Hammar,SE,,1987-07-12,40842,Protoss
Tiger,김현준,KR,,1988-01-23,303,Protoss
ReBellioN,강정우,KR,Team Super,,171,Protoss
